,t,channel,roi_name,mean,cell_count
145,24,0,roi_dic,100.74834,7110
146,24,0,roi_air,93.63215,1
147,24,1,roi_bac,68.135216,1
148,24,1,roi_dic,70.19775,2484
149,24,1,roi_air,68.37841,0
150,25,0,roi_bac,91.68247,4079
151,25,0,roi_dic,100.49899,6894
152,25,0,roi_air,93.6766,1
153,25,1,roi_bac,68.131714,1
154,25,1,roi_dic,70.20823,2474
155,25,1,roi_air,68.37101,0
156,26,0,roi_bac,91.421906,3970
157,26,0,roi_dic,99.86818,6857
158,26,0,roi_air,93.37649,1
159,26,1,roi_bac,68.107666,1
160,26,1,roi_dic,70.18266,2454
161,26,1,roi_air,68.36039,0
162,27,0,roi_bac,91.41833,3829
163,27,0,roi_dic,99.61074,6620
164,27,0,roi_air,93.367805,1
165,27,1,roi_bac,68.116264,1
166,27,1,roi_dic,70.22772,2526
167,27,1,roi_air,68.360794,0
168,28,0,roi_bac,91.19349,3879
169,28,0,roi_dic,99.086945,6761
170,28,0,roi_air,93.15007,1
171,28,1,roi_bac,68.09441,1
172,28,1,roi_dic,70.22584,2448
173,28,1,roi_air,68.335655,0
174,29,0,roi_bac,91.17926,3781
175,29,0,roi_dic,98.93195,6648
176,29,0,roi_air,93.15407,1
177,29,1,roi_bac,68.0987,1
178,29,1,roi_dic,70.27638,2537
179,29,1,roi_air,68.35677,0
180,30,0,roi_bac,90.93201,3734
181,30,0,roi_dic,98.42356,6475
182,30,0,roi_air,92.93932,1
183,30,1,roi_bac,68.13607,1
184,30,1,roi_dic,70.2799,2566
185,30,1,roi_air,68.39854,0
186,31,0,roi_bac,90.95243,3904
187,31,0,roi_dic,98.28447,6538
188,31,0,roi_air,92.90133,1
189,31,1,roi_bac,68.11179,1
190,31,1,roi_dic,70.27707,2601
191,31,1,roi_air,68.34991,0
192,32,0,roi_bac,90.68882,3710
193,32,0,roi_dic,97.9233,6484
194,32,0,roi_air,92.635056,1
195,32,1,roi_bac,68.092545,1
196,32,1,roi_dic,70.22794,2607
197,32,1,roi_air,68.30809,0
198,33,0,roi_bac,90.62162,3656
199,33,0,roi_dic,97.7314,6488
200,33,0,roi_air,92.60408,1
201,33,1,roi_bac,68.09169,1
202,33,1,roi_dic,70.24917,2561
203,33,1,roi_air,68.33657,0
204,34,0,roi_bac,90.37297,3638
205,34,0,roi_dic,97.30487,6381
206,34,0,roi_air,92.39841,1
207,34,1,roi_bac,68.09968,1
208,34,1,roi_dic,70.26467,2566
209,34,1,roi_air,68.33414,0
210,35,0,roi_bac,90.319145,3514
211,35,0,roi_dic,97.14132,6413
212,35,0,roi_air,92.39034,1
213,35,1,roi_bac,68.103096,1
214,35,1,roi_dic,70.29758,2619
215,35,1,roi_air,68.35111,0
216,36,0,roi_bac,90.096855,3484
217,36,0,roi_dic,96.85497,6314
218,36,0,roi_air,92.12575,1
219,36,1,roi_bac,68.10761,1
220,36,1,roi_dic,70.27997,2489
221,36,1,roi_air,68.33903,0
222,37,0,roi_bac,89.914474,3463
223,37,0,roi_dic,96.43056,6364
224,37,0,roi_air,91.966446,1
225,37,1,roi_bac,68.08942,1
226,37,1,roi_dic,70.27165,2421
227,37,1,roi_air,68.31971,0
228,38,0,roi_bac,89.760796,3432
229,38,0,roi_dic,96.149536,6189
230,38,0,roi_air,91.82061,1
231,38,1,roi_bac,68.0876,1
232,38,1,roi_dic,70.27433,2553
233,38,1,roi_air,68.32439,1
234,39,0,roi_bac,89.625946,3432
235,39,0,roi_dic,95.80542,6168
236,39,0,roi_air,91.62912,1
237,39,1,roi_bac,68.07854,1
238,39,1,roi_dic,70.30893,2385
239,39,1,roi_air,68.32355,0
240,40,0,roi_bac,89.60331,3334
241,40,0,roi_dic,95.63864,5997
242,40,0,roi_air,91.642105,1
243,40,1,roi_bac,68.09284,1
244,40,1,roi_dic,70.32632,2414
245,40,1,roi_air,68.3435,0
246,41,0,roi_bac,84.51578,3452
247,41,0,roi_dic,90.58251,6140
248,41,0,roi_air,86.31557,1
249,41,1,roi_bac,68.06311,1
250,41,1,roi_dic,70.313774,2377
251,41,1,roi_air,68.29832,0
252,42,0,roi_bac,84.40261,3365
253,42,0,roi_dic,90.34353,6096
254,42,0,roi_air,86.1605,1
255,42,1,roi_bac,68.09035,1
256,42,1,roi_dic,70.37987,2394
257,42,1,roi_air,68.33217,0
258,43,0,roi_bac,84.31222,3246
259,43,0,roi_dic,90.008606,5944
260,43,0,roi_air,86.023544,1
261,43,1,roi_bac,68.06316,1
262,43,1,roi_dic,70.371704,2354
263,43,1,roi_air,68.28762,0
264,44,0,roi_bac,84.15295,3298
265,44,0,roi_dic,89.67213,5896
266,44,0,roi_air,85.851845,1
267,44,1,roi_bac,68.076096,1
268,44,1,roi_dic,70.413704,2453
269,44,1,roi_air,68.31616,0
270,45,0,roi_bac,84.12788,3215
