,t,channel,roi_name,mean,cell_count
147,24,1,roi_bac,75.47661,1
148,24,1,roi_dic,81.72312,1746
149,24,1,roi_air,75.531296,0
150,25,0,roi_bac,108.81973,743
151,25,0,roi_dic,80.65115,636
152,25,0,roi_air,84.169975,1
153,25,1,roi_bac,75.48593,1
154,25,1,roi_dic,81.838326,1808
155,25,1,roi_air,75.52094,0
156,26,0,roi_bac,107.55856,728
157,26,0,roi_dic,80.45032,612
158,26,0,roi_air,83.81353,1
159,26,1,roi_bac,75.483406,1
160,26,1,roi_dic,81.897835,1796
161,26,1,roi_air,75.550735,0
162,27,0,roi_bac,106.38902,743
163,27,0,roi_dic,80.07155,595
164,27,0,roi_air,83.250275,1
165,27,1,roi_bac,75.45345,1
166,27,1,roi_dic,81.94534,1778
167,27,1,roi_air,75.493835,0
168,28,0,roi_bac,105.52709,773
169,28,0,roi_dic,80.01615,531
170,28,0,roi_air,83.19716,1
171,28,1,roi_bac,75.44896,1
172,28,1,roi_dic,81.98213,1727
173,28,1,roi_air,75.47876,0
174,29,0,roi_bac,104.490395,765
175,29,0,roi_dic,79.70601,505
176,29,0,roi_air,82.64394,1
177,29,1,roi_bac,75.46883,1
178,29,1,roi_dic,82.10535,1770
179,29,1,roi_air,75.52251,0
180,30,0,roi_bac,103.95491,764
181,30,0,roi_dic,79.61983,451
182,30,0,roi_air,82.53521,0
183,30,1,roi_bac,75.47043,1
184,30,1,roi_dic,82.18099,1689
185,30,1,roi_air,75.47772,0
186,31,0,roi_bac,103.16283,776
187,31,0,roi_dic,79.46658,441
188,31,0,roi_air,82.22085,0
189,31,1,roi_bac,75.44038,1
190,31,1,roi_dic,82.14881,1611
191,31,1,roi_air,75.46416,0
192,32,0,roi_bac,102.44133,788
193,32,0,roi_dic,79.27782,423
194,32,0,roi_air,81.90228,0
195,32,1,roi_bac,75.46535,1
196,32,1,roi_dic,82.240555,1606
197,32,1,roi_air,75.50383,0
198,33,0,roi_bac,101.652504,804
199,33,0,roi_dic,79.11814,378
200,33,0,roi_air,81.552536,0
201,33,1,roi_bac,75.43197,1
202,33,1,roi_dic,82.337494,1588
203,33,1,roi_air,75.469475,0
204,34,0,roi_bac,100.79372,780
205,34,0,roi_dic,78.902824,341
206,34,0,roi_air,81.18142,0
207,34,1,roi_bac,75.469635,1
208,34,1,roi_dic,82.375015,1517
209,34,1,roi_air,75.48074,0
210,35,0,roi_bac,100.46973,806
211,35,0,roi_dic,78.85877,335
212,35,0,roi_air,81.071915,1
213,35,1,roi_bac,75.456184,1
214,35,1,roi_dic,82.52092,1464
215,35,1,roi_air,75.48959,0
216,36,0,roi_bac,99.85409,819
217,36,0,roi_dic,78.79592,296
218,36,0,roi_air,80.95121,0
219,36,1,roi_bac,75.42553,1
220,36,1,roi_dic,82.52373,1403
221,36,1,roi_air,75.4695,0
222,37,0,roi_bac,99.06997,824
223,37,0,roi_dic,78.614235,277
224,37,0,roi_air,80.58746,0
225,37,1,roi_bac,75.379745,1
226,37,1,roi_dic,82.54656,1234
227,37,1,roi_air,75.40564,0
228,38,0,roi_bac,98.898056,835
229,38,0,roi_dic,78.60567,233
230,38,0,roi_air,80.54039,0
231,38,1,roi_bac,75.41421,1
232,38,1,roi_dic,82.724724,1236
233,38,1,roi_air,75.434746,0
234,39,0,roi_bac,98.442566,828
235,39,0,roi_dic,78.55421,171
236,39,0,roi_air,80.39037,0
237,39,1,roi_bac,75.4238,1
238,39,1,roi_dic,82.717766,1150
239,39,1,roi_air,75.38776,0
240,40,0,roi_bac,97.705,825
241,40,0,roi_dic,78.33345,168
242,40,0,roi_air,79.92743,0
243,40,1,roi_bac,75.36413,1
244,40,1,roi_dic,82.58295,1093
245,40,1,roi_air,75.441696,0
246,41,0,roi_bac,97.419914,822
247,41,0,roi_dic,78.34685,153
248,41,0,roi_air,79.99235,1
249,41,1,roi_bac,75.37433,1
250,41,1,roi_dic,82.53887,993
251,41,1,roi_air,75.3416,0
252,42,0,roi_bac,97.00932,862
253,42,0,roi_dic,78.27384,120
254,42,0,roi_air,79.77306,0
255,42,1,roi_bac,75.378654,1
256,42,1,roi_dic,82.600266,1020
257,42,1,roi_air,75.38987,0
258,43,0,roi_bac,96.69181,846
259,43,0,roi_dic,78.29671,88
260,43,0,roi_air,79.79204,0
261,43,1,roi_bac,75.37624,1
262,43,1,roi_dic,82.59544,973
263,43,1,roi_air,75.402016,0
264,44,0,roi_bac,96.213776,845
265,44,0,roi_dic,78.207756,59
266,44,0,roi_air,79.69897,0
267,44,1,roi_bac,75.36244,1
268,44,1,roi_dic,82.509514,924
269,44,1,roi_air,75.36553,0
270,45,0,roi_bac,95.92368,807
271,45,0,roi_dic,78.2367,57
272,45,0,roi_air,79.66518,0
273,45,1,roi_bac,75.338165,1
274,45,1,roi_dic,82.52312,852
275,45,1,roi_air,75.36689,0
276,46,0,roi_bac,95.639305,827
277,46,0,roi_dic,78.20693,47
278,46,0,roi_air,79.580864,0
279,46,1,roi_bac,75.348816,1
280,46,1,roi_dic,82.49891,804
281,46,1,roi_air,75.35174,0
282,47,0,roi_bac,95.483986,829
283,47,0,roi_dic,78.15547,38
284,47,0,roi_air,79.45228,0
285,47,1,roi_bac,75.37669,1
286,47,1,roi_dic,82.527534,745
287,47,1,roi_air,75.36544,0
288,48,0,roi_bac,95.15045,796
289,48,0,roi_dic,78.08774,36
290,48,0,roi_air,79.257195,0
291,48,1,roi_bac,75.29796,1
292,48,1,roi_dic,82.42985,764
293,48,1,roi_air,75.28974,0
294,49,0,roi_bac,95.10894,793
295,49,0,roi_dic,78.12186,26
296,49,0,roi_air,79.4383,0
297,49,1,roi_bac,75.3379,1
298,49,1,roi_dic,82.43399,701
299,49,1,roi_air,75.36495,0
300,50,0,roi_bac,94.856445,810
301,50,0,roi_dic,78.112434,31
302,50,0,roi_air,79.30631,0
303,50,1,roi_bac,75.32264,1
304,50,1,roi_dic,82.42246,695
305,50,1,roi_air,75.362045,0
306,51,0,roi_bac,94.70537,823
307,51,0,roi_dic,78.0498,23
308,51,0,roi_air,79.24236,0
309,51,1,roi_bac,75.31573,1
310,51,1,roi_dic,82.42908,685
311,51,1,roi_air,75.34805,0
312,52,0,roi_bac,94.68499,817
313,52,0,roi_dic,78.08271,30
314,52,0,roi_air,79.26928,0
315,52,1,roi_bac,75.29095,1
316,52,1,roi_dic,82.4216,650
317,52,1,roi_air,75.31232,0
318,53,0,roi_bac,94.53702,789
319,53,0,roi_dic,78.050514,24
320,53,0,roi_air,79.20388,0
321,53,1,roi_bac,75.31116,1
322,53,1,roi_dic,82.395905,653
323,53,1,roi_air,75.32908,0
324,54,0,roi_bac,94.34942,822
325,54,0,roi_dic,78.024605,29
326,54,0,roi_air,79.19918,0
327,54,1,roi_bac,75.27441,1
328,54,1,roi_dic,82.35588,648
329,54,1,roi_air,75.31606,0
330,55,0,roi_bac,94.279564,788
331,55,0,roi_dic,78.03392,24
332,55,0,roi_air,79.13316,0
333,55,1,roi_bac,75.32426,1
334,55,1,roi_dic,82.4353,641
335,55,1,roi_air,75.290016,0
336,56,0,roi_bac,94.11986,782
337,56,0,roi_dic,78.01935,34
338,56,0,roi_air,79.04322,0
339,56,1,roi_bac,75.30418,1
340,56,1,roi_dic,82.49439,653
341,56,1,roi_air,75.319595,0
342,57,0,roi_bac,93.907455,798
343,57,0,roi_dic,77.97523,27
344,57,0,roi_air,78.976295,0
345,57,1,roi_bac,75.30827,1
346,57,1,roi_dic,82.43982,627
347,57,1,roi_air,75.30339,0
348,58,0,roi_bac,93.77,734
349,58,0,roi_dic,77.987625,32
