folder,mean_blue,mean_red,red_over_blue,blue_over_red,mask_fraction,experiment
WT PBMC 1.1,21.621994,35.854523,1.6582431,0.6030479,0.00189453125,GAS50 PBMC 1.1
WT PBMC 1.2,18.154444,20.71741,1.1411756,0.8762893,0.0029296875,GAS50 PBMC 1.1
WT PBMC 1.3,20.150064,29.017681,1.4400789,0.69440645,0.0025162760416666667,GAS50 PBMC 1.1
WT PBMC 2.1,20.177885,22.55861,1.1179869,0.89446485,0.0034342447916666666,GAS50 PBMC 1.1
WT PBMC 2.2,18.648706,17.842312,0.9567587,1.0451956,0.0024772135416666666,GAS50 PBMC 1.1
WT PBMC 2.3,19.594795,19.478624,0.99407136,1.005964,0.0035026041666666665,GAS50 PBMC 1.1
WT PBMC 3.1,18.859413,8.121028,0.43060872,2.3222938,0.005325520833333333,GAS50 PBMC 1.1
WT PBMC 3.2,21.009815,15.517383,0.7385778,1.3539536,0.0026529947916666668,GAS50 PBMC 1.1
WT PBMC 3.3,24.83418,18.429834,0.7421157,1.3474989,0.003193359375,GAS50 PBMC 1.1
hIgG1 PBMC 1.1,25.54162,36.8731,1.4436476,0.6926898,0.0029329427083333334,GAS50 PBMC 1.1
hIgG1 PBMC 1.2,21.230286,31.584677,1.487718,0.6721704,0.002421875,GAS50 PBMC 1.1
hIgG1 PBMC 1.3,24.718409,34.072308,1.3784183,0.7254692,0.003271484375,GAS50 PBMC 1.1
hIgG1 PBMC 2.1,23.603018,24.20179,1.0253685,0.9752592,0.0023014322916666665,GAS50 PBMC 1.1
hIgG1 PBMC 2.2,26.135193,29.901287,1.1441005,0.87404907,0.0015169270833333332,GAS50 PBMC 1.1
hIgG1 PBMC 2.3,27.137257,41.445248,1.5272453,0.65477365,0.003597005208333333,GAS50 PBMC 1.1
hIgG1 PBMC 3.1,38.270676,47.11027,1.2309757,0.81236374,0.00043294270833333336,GAS50 PBMC 1.1
hIgG1 PBMC 3.2,19.827335,21.60502,1.0896583,0.9177189,0.0038899739583333334,GAS50 PBMC 1.1
hIgG1 PBMC 3.3,22.077818,22.66391,1.0265466,0.97413987,0.0035416666666666665,GAS50 PBMC 1.1
